Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,491.950012,495.299988,489.362,493.950012,382.296326,152124
2015-01-02,493.75,504.899994,493.475006,503.362,389.580841,244044
2015-01-05,503.674988,507.412994,494.412994,499.149994,386.320923,329496
2015-01-06,496.225006,497,483.75,489.212006,378.629333,886344
2015-01-07,489.274994,493.825012,487.5,491.200012,380.167999,3098952
2015-01-08,495.625,499.212006,487.75,493.638,382.054871,3151456
2015-01-09,496.25,527,478.524994,518.400024,401.219666,4515468
2015-01-12,523.763,529.75,519.062012,528.687988,409.182098,886260
2015-01-13,528.599976,528.599976,518.786987,521.812012,403.860382,372860
2015-01-14,523.75,533.75,523.224976,532.200012,411.900299,613040
2015-01-15,536,538.224976,528.625,533.487,412.896362,478052
2015-01-16,535.049988,536.838013,527.5,528.536987,409.065247,272456
2015-01-19,529.5,532.75,523.950012,525.599976,406.792114,243580
2015-01-20,525.599976,533.224976,525.112,530.588013,410.652618,275832
2015-01-21,531.549988,542.5,529.325012,541.275024,418.923981,1443200
2015-01-22,542.25,550.5,540.450012,548.924988,424.844666,337080
2015-01-23,550,555.5,541.687988,553.513,428.395599,423648
2015-01-27,553.513,554,532.75,534,413.293365,450956
2015-01-28,536.638,538.625,533.25,536.275024,415.054138,336052
2015-01-29,533.799988,537.338013,532.062012,535.724976,414.628448,632020
2015-01-30,538,540.900024,531.599976,535.687988,414.599762,967412
2015-02-02,535,537.799988,531.911987,533.588013,412.974487,257932
2015-02-03,535,535,525.763,530.088013,410.265656,294284
2015-02-04,532,537.375,532,535.513,414.464386,218144
2015-02-05,536,555,536,548.400024,424.438354,717092
2015-02-06,548.25,561.687988,548.099976,557.338013,431.356049,485972
2015-02-09,557.338013,563.75,551.599976,562.549988,435.389832,643628
2015-02-10,561.224976,574.349976,556.25,570.075012,441.213867,566624
2015-02-11,568.75,573.75,564.562012,571.799988,442.54895,242252
2015-02-12,570,580.713013,568.75,578.862,448.014648,319064
2015-02-13,577.75,581.224976,571.737,574.099976,444.32901,438924
2015-02-16,570.25,576.463013,566.5,569.625,440.865601,342164
2015-02-18,571,576.25,565.275024,573.937988,444.203674,279536
2015-02-19,576,583.474976,573,581.650024,450.172516,343340
2015-02-20,581,583.799988,569.25,571.075012,441.987915,318868
2015-02-23,575.987,577.75,563.312012,567.674988,439.356384,303804
2015-02-24,569.013,573.75,564.5,569.536987,440.797455,209004
2015-02-25,572.5,583,569.588013,579.513,448.518494,647980
2015-02-26,578.724976,578.724976,562.5,564.875,437.18927,279380
2015-02-27,566.812012,570.213013,564.5,566.588013,438.515137,202884
2015-02-28,null,null,null,null,null,null
2015-03-02,575,577,569.599976,572.862,443.370911,154484
2015-03-03,572.75,577.25,569.862,574.338013,444.513275,159124
2015-03-04,574.75,578.375,563.088013,568.150024,439.72406,285720
2015-03-05,567.099976,574.349976,559,562.924988,435.680115,250636
2015-03-09,563.75,564,544.799988,547.638,423.848602,485852
2015-03-10,550,551.75,540.825012,550.025024,425.696075,361360
2015-03-11,547.5,560,543.150024,545.900024,422.503479,508292
2015-03-12,546.224976,556.588013,544.375,554.450012,429.120789,345048
2015-03-13,556.525024,557.200012,548.599976,554.112,428.859192,222656
2015-03-16,552.5,570.5,552.5,566.75,438.640503,308668
2015-03-17,565.049988,569.625,554.549988,560.487,433.793152,339516
2015-03-18,562.5,565.187988,555,557.549988,431.520111,166284
2015-03-19,556.75,561.036987,556.049988,557.474976,431.462006,2042832
2015-03-20,558.25,567.375,558.25,564.737,437.08252,314824
2015-03-23,563,568.75,556.713013,558.099976,431.94574,1441392
2015-03-24,557.5,563,551.562012,553.025024,428.017944,218904
2015-03-25,554.325012,556.924988,550,554.424988,429.10144,292948
2015-03-26,553,553.375,532.5,536.112,414.927979,452640
2015-03-27,541,556.25,540,550.487,426.05365,323088
2015-03-30,553.5,561.013,548.862,557.450012,431.442719,231928
2015-03-31,560.900024,568,551.213013,554.150024,428.888672,306176
2015-04-01,552.349976,552.349976,540,543.062012,420.307007,632492
2015-04-06,544.5,546.25,540.5,544.299988,421.265137,232236
2015-04-07,545,545.987,535.450012,540.312012,418.178619,280228
2015-04-08,543.875,551.713013,543.5,550.200012,425.831482,159196
2015-04-09,552.5,554.099976,546.75,552.849976,427.882477,136140
2015-04-10,552.5,559.75,552.5,558.325012,432.119904,185700
2015-04-13,558.75,561,554.400024,559.75,433.222748,135516
2015-04-15,559.724976,560.724976,548.875,553.299988,428.230774,176820
2015-04-16,553.75,557.5,539.062012,547.775024,423.95462,297960
2015-04-17,547,548.75,538.362,545.487,422.183838,130396
2015-04-20,545.25,546,529.312012,533.312012,412.760864,3215856
2015-04-21,534.5,538.112,529.950012,536.099976,414.918671,663064
2015-04-22,536.536987,543.75,525.062012,534.612,413.767029,316724
2015-04-23,536.325012,536.325012,528.125,530.638,410.691315,426100
2015-04-24,532.75,537.5,495.5,499.062012,386.252869,6084388
2015-04-27,500.25,502.5,487.5,496.5,384.269958,1370688
2015-04-28,497,497,488.25,490.337006,379.500092,980736
2015-04-29,491.25,493,484.638,490.399994,379.548828,628316
2015-04-30,490,490.037994,483.162994,485.600006,375.833862,1399832
2015-05-04,490.25,499.75,487.5,498.575012,385.875946,416200
2015-05-05,500,501.25,488.75,491.687988,380.545685,961820
2015-05-06,494.75,495,479.375,480.625,371.983368,1707676
2015-05-07,482.200012,491.75,477.774994,485.700012,375.911194,512064
2015-05-08,490.975006,492.149994,486.450012,489.5,378.852264,272568
2015-05-11,491.274994,500,488.5,498,385.430878,485328
2015-05-12,499.725006,499.725006,485.312012,487.399994,377.226929,733656
2015-05-13,488.5,491.25,483.149994,488.987,378.455261,6706668
2015-05-14,490,490,477.5,483.638,374.315308,530492
2015-05-15,483.774994,491.25,483.75,489.937988,379.191223,340672
2015-05-18,491.049988,499.5,490.513,497.937988,385.382904,468984
2015-05-19,497.25,508.174988,496.100006,504.537994,390.491058,369580
2015-05-20,508.388,512.75,508.388,511.174988,395.627777,272572
2015-05-21,512.25,515.25,508.75,510.837006,395.36615,216492
2015-05-22,511.25,512.349976,507.513,510.450012,395.066681,689148
2015-05-25,512.5,514.224976,501.75,504.5,390.461639,336528
2015-05-26,505.25,507.763,500.125,502.325012,388.77829,478896
2015-05-27,503.75,503.75,488.437988,492.263,380.990723,551252
2015-05-28,495,506.75,494.075012,503.575012,389.745728,421436
2015-05-29,504.25,513.375,500.937988,505.600006,391.312988,746392
2015-06-01,507.5,515.75,505.825012,511.424988,395.82132,316300
2015-06-02,511.25,513.700012,501.274994,502.200012,388.681519,555136
2015-06-03,505,515,502.062012,505.774994,391.448456,696708
2015-06-04,507.75,514.150024,503.587006,507.013,392.406616,345768
2015-06-05,509.75,511,502.287994,503.024994,389.320007,479684
2015-06-08,503,505.062012,497.5,500.062012,387.026825,224292
2015-06-09,503.25,503.25,496.274994,498.138,385.53775,651432
2015-06-10,502.5,509.924988,496.5,506.549988,392.048218,424344
2015-06-11,508.75,511.25,499.263,500.462006,387.336365,876372
2015-06-12,500.5,506.125,488.875,494.162994,406.417755,1457624
2015-06-15,490,499.424988,484.25,495.549988,420.097717,705134
2015-06-16,497,501,492.5,499.725006,423.637054,249144
2015-06-17,503.5,510.200012,496.649994,497.899994,422.089905,401368
2015-06-18,500.125,502.975006,498,500.450012,424.251678,196586
2015-06-19,502.5,505.149994,496.25,498.375,422.492584,211216
2015-06-22,504.5,514.400024,498.75,512.200012,434.212585,379194
2015-06-23,512.5,514,499.549988,500.575012,424.357605,439428
2015-06-24,505,506.700012,495.799988,497.549988,421.793213,303674
2015-06-25,500,501.5,493.924988,495.575012,420.118927,375776
2015-06-26,497.5,505.875,497.5,503.049988,426.45578,354312
2015-06-29,494,499.5,490,495.125,419.737427,429556
2015-06-30,496.5,496.5,491.549988,492.674988,417.660431,261804
2015-07-01,495,500,493.075012,498.850006,422.895264,184536
2015-07-02,500,500.200012,492.575012,494.075012,418.847321,247628
2015-07-03,493.5,496.5,491.774994,494.975006,419.610291,194282
2015-07-06,490,494.125,487.75,491.75,416.876282,275000
2015-07-07,495,495.375,490.024994,491.024994,416.261688,173050
2015-07-08,492.5,492.5,477.5,478.600006,405.728516,670570
2015-07-09,480,483.475006,467,468.850006,397.463043,651170
2015-07-10,475,475.924988,466.274994,468.5,397.166351,308046
2015-07-13,470,477.225006,467.049988,475.024994,402.697845,398782
2015-07-14,477.5,486.799988,472.674988,485.049988,411.196411,536338
2015-07-15,485.950012,492.600006,484.5,491.325012,416.515991,270028
2015-07-16,492.75,495.600006,489.549988,493.899994,418.698975,197530
2015-07-17,494.950012,501.975006,494.5,501,424.717926,397040
2015-07-20,501.625,505,493.625,500.950012,424.675507,347480
2015-07-21,511.100006,563.875,511.100006,556.325012,471.619202,2835130
2015-07-22,552.5,555.724976,537.875,551.299988,467.359222,608726
2015-07-23,551.5,558.849976,545.5,549.424988,465.769714,368126
2015-07-24,550,553.099976,541.200012,544.674988,461.74292,247380
2015-07-27,544.5,544.5,530.25,532.5,451.421753,442272
2015-07-28,538.5,538.5,527.75,531.75,450.785919,252208
2015-07-29,534,546.125,532.5,542.599976,459.983917,260698
2015-07-30,545,545,529.875,534.549988,453.159576,222822
2015-07-31,539.5,540.599976,530.799988,539.025024,456.953247,286918
2015-08-03,540,545.75,534.5,539.525024,457.377136,253720
2015-08-04,539,540,526.5,529.900024,449.217621,352202
2015-08-05,532.5,545,532.5,543.275024,460.556183,215864
2015-08-06,545.099976,552.974976,539.5,544.724976,461.785309,371854
2015-08-07,544.724976,550.450012,540,547.799988,464.39209,204284
2015-08-10,548.5,553,534.049988,540.974976,458.606323,205472
2015-08-11,549.450012,557.5,536.75,552.174988,468.100983,456668
2015-08-12,555,573.5,555,570.875,483.953796,509318
2015-08-13,573.5,583,565,578.424988,490.354248,590616
2015-08-14,583,584.400024,571.5,574.5,487.026794,369230
2015-08-17,575,575.375,561.25,570.924988,483.996155,188892
2015-08-18,573.5,588.5,573.5,581.900024,493.300171,365950
2015-08-19,583,593,581.900024,587.525024,498.068695,569144
2015-08-20,585,585,565.099976,569.099976,482.448975,477064
2015-08-21,570.5,579.700012,559.549988,575.299988,487.705048,465234
2015-08-24,560,561.5,540.025024,546.325012,463.141693,680698
2015-08-25,548,560,522.5,543.25,460.534973,505044
2015-08-26,549.5,549.5,529.799988,532.674988,451.570068,374788
2015-08-27,545,549.450012,538.25,542.049988,459.517609,239770
2015-08-28,547.599976,562,547.5,555.349976,470.792633,340600
2015-08-31,565,565,541.799988,547.599976,464.222534,389940
2015-09-01,544.974976,557.200012,541.049988,544.825012,461.870148,388726
2015-09-02,550,557.299988,545.049988,550.150024,466.384338,314152
2015-09-03,555,555.525024,546.974976,550.325012,466.532745,169652
2015-09-04,553.900024,555,534,536.900024,455.151794,316660
2015-09-07,540.5,542,527.5,529.799988,449.132813,229390
2015-09-08,531.5,537.224976,526.174988,529.650024,449.005707,289944
2015-09-09,544,549.5,536.25,544.25,461.38266,295314
2015-09-10,544,545.349976,530.849976,540.174988,457.928131,249656
2015-09-11,546,552.724976,542.625,545.349976,462.315186,264426
2015-09-14,548.099976,550,541.275024,548.875,465.303467,175970
2015-09-15,549.5,552.150024,544.049988,549.200012,465.578979,171054
2015-09-16,552.5,554.224976,549.099976,550.75,466.893005,509406
2015-09-18,555,559,549.625,552.375,468.270569,286152
2015-09-21,550,554.099976,548.5,552.325012,468.228241,174482
2015-09-22,557.5,567.700012,550,552.75,468.588501,378242
2015-09-23,554.900024,563,548.75,558.325012,473.314606,222834
2015-09-24,555.5,574.799988,555.025024,570.700012,483.80545,397886
2015-09-28,570,571.674988,551.525024,554.099976,469.73291,305320
2015-09-29,551,566,549,560.549988,475.200806,335232
2015-09-30,566.5,582.674988,563.775024,580.224976,491.880096,434424
2015-10-01,584.950012,598.5,581.174988,586.625,497.305603,435728
2015-10-05,588.025024,594.450012,581.275024,590.25,500.378723,299074
2015-10-06,592.5,595,574.299988,577.424988,489.506409,403586
2015-10-07,578.950012,584.450012,564.174988,566.575012,480.308472,407706
2015-10-08,570,574.825012,563,566.224976,480.01178,283918
2015-10-09,566.5,586.299988,566.5,583.924988,495.016724,727298
2015-10-12,601.349976,609.5,554.450012,561.25,475.79422,2542272
2015-10-13,553.5,557.400024,543.549988,549.325012,465.684998,916376
2015-10-14,545,557.5,545,548.724976,465.17627,480008
2015-10-15,551,554,544.5,548.5,464.985596,414802
2015-10-16,550,551.599976,545,546.875,472.217194,290134
2015-10-19,550,558.5,550,556.099976,480.1828,316740
2015-10-20,556.5,564.900024,555.799988,562.674988,485.860229,340046
2015-10-21,562.974976,573,562.674988,568.799988,491.149078,342012
2015-10-23,570,576,562.549988,574.275024,495.876648,298394
2015-10-26,575,578.625,571.5,575.700012,497.107117,216648
2015-10-27,575.5,577,572,574.224976,495.833496,128126
2015-10-28,573,580,569.75,575.674988,497.08551,195024
2015-10-29,575,577.5,568,571.349976,493.350983,135184
2015-10-30,571.349976,572,565.25,568.025024,490.479919,149532
2015-11-02,565,567.5,557.150024,565.775024,488.53714,160650
2015-11-03,567,574.5,567,571.5,493.48053,217568
2015-11-04,574,577.799988,566.549988,568.525024,490.911621,184770
2015-11-05,569.5,572.424988,558.525024,561.224976,484.608185,290764
2015-11-06,562.5,571.349976,562.5,569.025024,491.343384,162332
2015-11-09,560,568.825012,557.5,566.974976,489.573273,183944
2015-11-10,567,567,551,553.200012,477.678741,227256
2015-11-13,553.5,553.5,545,550.224976,475.109894,176286
2015-11-16,542.5,546.875,533.549988,540.099976,466.367126,318022
2015-11-17,541,542,526.025024,530.549988,458.12088,663038
2015-11-18,522,522.174988,506.125,509.924988,440.311523,817628
2015-11-19,516,525.875,512.299988,523.650024,452.162842,601380
2015-11-20,525,531,521.325012,526.450012,454.580627,282128
2015-11-23,525.75,530.650024,519.025024,526.75,454.83963,250472
2015-11-24,522.5,525,518.5,520.5,449.442871,241398
2015-11-26,522,529.349976,517.5,526.599976,454.710083,246762
2015-11-27,525,534.825012,523.099976,533.150024,460.365967,234744
2015-11-30,535,549,528,544.224976,469.928986,300878
2015-12-01,544.25,546.525024,536,538.325012,464.834473,206418
2015-12-02,541,541,529.025024,530.099976,457.7323,200834
2015-12-03,531.25,532.625,525,528,455.919006,354260
2015-12-04,526.5,531.799988,520.450012,523.900024,452.378754,627738
2015-12-07,526,529.275024,520.125,522.924988,451.536774,179544
2015-12-08,522.5,531,520.549988,522.474976,451.148254,185192
2015-12-09,522,523.799988,511.75,514.674988,444.413055,742714
2015-12-10,517.549988,525.75,515.224976,523.200012,451.774261,429594
2015-12-11,525.049988,530.450012,523,526.174988,454.343109,366480
2015-12-14,525,536.650024,524.5,534.75,461.747467,304450
2015-12-15,537.5,539.900024,529.075012,538.450012,464.942444,244454
2015-12-16,540,548.900024,540,547.700012,472.929626,228204
2015-12-17,550,555,544,553.474976,477.916168,478466
2015-12-18,549,551.474976,540.049988,542.974976,468.849609,362608
2015-12-21,537.5,552.375,535.450012,551,475.779022,226296
2015-12-22,550,550,540.25,541.799988,467.835052,203308
2015-12-23,544,550,543.5,549,474.052094,169938
2015-12-24,550,551.700012,545.200012,547.924988,473.123901,89454
2015-12-28,546.349976,553.799988,545,550.825012,475.628021,159150
2015-12-29,550.549988,554.825012,548.75,551.875,476.534637,112406
2015-12-30,550,553.174988,541.75,543.025024,468.892792,182804
2015-12-31,544,554.5,544,552.275024,476.880035,161366
